"","Boma","BomaID","CarnPresent","CarnSpecies","Proximity","LivestockInjured","LivestockSpeciesInjured","LivestockNumberInjured","LivestockKilled","LivestockSpeciesKilled","LivestockNumberKilled","CarnAttack","Treatment"
"1","Leruso lopiro","Boma1","Yes","Spotted hyena",200,"No",NA,0,"No",NA,0,0,"Humans"
"2","Leseketeti","Boma5","Yes","Leopard",100,"No",NA,0,"No",NA,0,0,"Humans"
"3","Lenaiptari","Boma6","Yes","Leopard",1,"No",NA,0,"Yes","Sheep",1,1,"Humans"
"4","Lengolos","Boma7","Yes","Spotted hyena",400,"No",NA,0,"No",NA,0,0,"Humans"
"5","Lekisima","Boma9","Yes","Spotted hyena",100,"No",NA,0,"No",NA,0,0,"Humans"
"6","Lenaino2","Boma10","Yes","Spotted hyena",100,"No",NA,0,"No",NA,0,0,"Humans"
"7","Nakoyia Lesamaita","Boma11","Yes","Spotted hyena",NA,"No",NA,0,"No",NA,0,0,"Humans"
"8","Kokoroi Telaita","Boma13","Yes","Spotted hyena",100,"No",NA,0,"No",NA,0,0,"Humans"
"9","Long'oria","Boma18","Yes","Spotted hyena",200,"No",NA,0,"No",NA,0,0,"Humans"
"10","Ang'orinyang","Boma19","Yes","Spotted hyena",300,"No",NA,0,"No",NA,0,0,"Humans"
"11","Susan","Boma20","Yes","Spotted hyena",200,"No",NA,0,"No",NA,0,0,"Humans"
"12","Leruso lopiro","Boma1","Yes","Spotted hyena",200,"No",NA,0,"No",NA,0,0,"Humans"
"13","Lesangurikuri","Boma2","Yes","Spotted hyena",50,"No",NA,0,"No",NA,0,0,"Humans"
"14","Lekulal","Boma3","Yes","Spotted hyena",100,"No",NA,0,"No",NA,0,0,"Humans"
"15","Lengolos","Boma7","Yes","Spotted hyena",400,"No",NA,0,"No",NA,0,0,"Humans"
"16","Lekisima","Boma9","Yes","Spotted hyena",100,"No",NA,0,"No",NA,0,0,"Humans"
"17","Lenaino2","Boma10","Yes","Spotted hyena",100,"No",NA,0,"No",NA,0,0,"Humans"
"18","Nakoyia Lesamaita","Boma11","Yes","Spotted hyena",NA,"No",NA,0,"No",NA,0,0,"Humans"
"19","Lesangurikuri2","Boma12","Yes","Spotted hyena",5,"No",NA,0,"No",NA,0,0,"Humans"
"20","Kokoroi Telaita","Boma13","Yes","Spotted hyena",100,"No",NA,0,"No",NA,0,0,"Humans"
"21","Long'oria","Boma18","Yes","Spotted hyena",150,"No",NA,0,"No",NA,0,0,"Humans"
"22","Ang'orinyang","Boma19","Yes","Spotted hyena",200,"No",NA,0,"No",NA,0,0,"Humans"
"23","Susan","Boma20","Yes","Spotted hyena",200,"No",NA,0,"No",NA,0,0,"Humans"
"24","Leruso lopiro","Boma1","Yes","Spotted hyena",100,"No",NA,0,"No",NA,0,0,"Humans"
"25","Lewarani","Boma8","Yes","Spotted hyena",80,"No",NA,0,"No",NA,0,0,"Humans"
"26","Lenaino2","Boma10","Yes","Spotted hyena",50,"No",NA,0,"No",NA,0,0,"Humans"
"27","Nakoyia Lesamaita","Boma11","Yes","Spotted hyena",50,"No",NA,0,"No",NA,0,0,"Humans"
"28","Long'oria","Boma18","Yes","Spotted hyena",NA,"No",NA,0,"No",NA,0,0,"Humans"
"29","Susan","Boma20","Yes","Leopard",200,"No",NA,0,"No",NA,0,0,"Humans"
"30","Leseketeti","Boma5","Yes","Leopard",10,"No",NA,0,"No",NA,0,0,"Humans"
"31","Leseketeti","Boma5","Yes","Leopard",10,"No",NA,0,"No",NA,0,0,"Humans"
"32","Lenaiptari","Boma6","Yes","Leopard",10,"No",NA,0,"No",NA,0,0,"Humans"
"33","Lenaiptari","Boma6","Yes","Leopard",10,"No",NA,0,"No",NA,0,0,"Humans"
"34","Lengolos","Boma7","Yes","Spotted hyenae",100,"No",NA,0,"No",NA,0,0,"Humans"
"35","Lewarani","Boma8","Yes","Spotted hyenae",100,"No",NA,0,"No",NA,0,0,"Humans"
"36","Lekisima","Boma9","Yes","Spotted hyenae",50,"No",NA,0,"No",NA,0,0,"Humans"
"37","Lenaino2","Boma10","Yes","Spotted hyenae",100,"No",NA,0,"No",NA,0,0,"Humans"
"38","Long'oria","Boma18","Yes","Spotted hyenae",300,"No",NA,0,"No",NA,0,0,"Humans"
"39","Ang'orinyang","Boma19","Yes","Spotted hyenae",400,"No",NA,0,"No",NA,0,0,"Humans"
"40","Susan","Boma20","Yes","Spotted hyenae",200,"No",NA,0,"No",NA,0,0,"Humans"
"41","Leseketeti","Boma5","Yes","Leopard",1,"No",NA,0,"Yes","Sheep",1,1,"Crickets"
"42","Lenaiptari","Boma6","Yes","Leopard",1,"No",NA,0,"Yes","Sheep",1,1,"Crickets"
"43","Lesangurikuri","Boma2","Yes","Spotted hyenae",100,"No",NA,0,"No",NA,0,0,"Humans"
"44","Lesangurikuri","Boma2","Yes","Spotted hyenae",100,"No",NA,0,"No",NA,0,0,"Humans"
"45","Leseketeti","Boma5","Yes","Leopard",50,"No",NA,0,"No",NA,0,0,"Crickets"
"46","Leseketeti","Boma5","Yes","Leopard",20,"No",NA,0,"No",NA,0,0,"Crickets"
"47","Lenaiptari","Boma6","Yes","Leopard",50,"No",NA,0,"No",NA,0,0,"Crickets"
"48","Long'oria","Boma18","Yes","Spotted hyenae",300,"No",NA,0,"No",NA,0,0,"Humans"
"49","Susan","Boma20","Yes","Leopard",300,"No",NA,0,"No",NA,0,0,"Humans"
"50","Leruso lopiro","Boma1","Yes","Spotted hyenae",10,"No",NA,0,"No",NA,0,0,"Crickets"
