Farm,Date,Day,Ele-present,Signs,Proximity(m),Cropdamaged,Cropspeciedamaged,Areasizedamaged(mxm),Area(m2),DogPresent,GuardPresent,SleepHours,Speaker,Treatment,X,Y,Comments
1,22-Sep-25,Monday,Yes,Footprints,200,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,They raided nearby farm
1,23-Sep-25,Tuesday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,24-Sep-25,Wednesday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,25-Sep-25,Thursday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,26-Sep-25,Friday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,27-Sep-25,Saturday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,28-Sep-25,Sunday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,29-Sep-25,Monday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,30-Sep-25,Tuesday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,1-Oct-25,Wednesday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,2-Oct-25,Thursday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,3-Oct-25,Friday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,4-Oct-25,Saturday,Yes,Footprints,100,No,None,0,0,,,,Yes,Humans,36.59634,0.10047,
1,5-Oct-25,Sunday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,6-Oct-25,Monday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,7-Oct-25,Tuesday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,8-Oct-25,Wednesday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,9-Oct-25,Thursday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,10-Oct-25,Friday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,11-Oct-25,Saturday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,12-Oct-25,Sunday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
1,13-Oct-25,Monday,No,NA,NA,No,NA,0,0,,,,Yes,Humans,36.59634,0.10047,
