Camera,Grid,Treatment,Week,Trial,Consumed
S2T1,S2,human,2,1,0
S2T2,S2,human,2,1,0
S2T3,S2,human,2,1,1
S2T4,S2,human,2,1,0
S2T5,S2,human,2,1,1
S2T6,S2,human,2,1,0
S2T7,S2,human,2,1,0
S2T8,S2,human,2,1,0
S2T9,S2,human,2,1,0
S2T10,S2,human,2,1,0
S2T11,S2,human,2,1,0
S2T12,S2,human,2,1,1
N2T1,N2,control,2,1,2
N2T2,N2,control,2,1,1
N2T3,N2,control,2,1,0
N2T4,N2,control,2,1,1
N2T5,N2,control,2,1,0
N2T6,N2,control,2,1,0
N2T7,N2,control,2,1,0
N2T8,N2,control,2,1,0
N2T9,N2,control,2,1,0
N2T10,N2,control,2,1,0
N2T11,N2,control,2,1,0
N2T12,N2,control,2,1,0
S2T1,S2,human,2,2,0
S2T2,S2,human,2,2,0
S2T3,S2,human,2,2,1
S2T4,S2,human,2,2,0
S2T5,S2,human,2,2,0
S2T6,S2,human,2,2,0
S2T7,S2,human,2,2,0
S2T8,S2,human,2,2,0
S2T9,S2,human,2,2,0
S2T10,S2,human,2,2,0
S2T11,S2,human,2,2,0
S2T12,S2,human,2,2,0
N2T1,N2,control,2,2,0
N2T2,N2,control,2,2,0
N2T3,N2,control,2,2,0
N2T4,N2,control,2,2,1
N2T5,N2,control,2,2,0
N2T6,N2,control,2,2,1
N2T7,N2,control,2,2,1
N2T8,N2,control,2,2,0
N2T9,N2,control,2,2,0
N2T10,N2,control,2,2,0
N2T11,N2,control,2,2,0
N2T12,N2,control,2,2,0
S2T1,S2,human,4,1,0
S2T2,S2,human,4,1,0
S2T3,S2,human,4,1,0
S2T4,S2,human,4,1,1
S2T5,S2,human,4,1,1
S2T6,S2,human,4,1,0
S2T7,S2,human,4,1,1
S2T8,S2,human,4,1,1
S2T9,S2,human,4,1,0
S2T10,S2,human,4,1,1
S2T11,S2,human,4,1,0
S2T12,S2,human,4,1,0
N2T1,N2,control,4,1,1
N2T2,N2,control,4,1,0
N2T3,N2,control,4,1,0
N2T4,N2,control,4,1,0
N2T5,N2,control,4,1,0
N2T6,N2,control,4,1,1
N2T7,N2,control,4,1,0
N2T8,N2,control,4,1,0
N2T9,N2,control,4,1,1
N2T10,N2,control,4,1,0
N2T11,N2,control,4,1,2
N2T12,N2,control,4,1,1
S2T1,S2,human,4,2,1
S2T2,S2,human,4,2,1
S2T3,S2,human,4,2,2
S2T4,S2,human,4,2,0
S2T5,S2,human,4,2,0
S2T6,S2,human,4,2,1
S2T7,S2,human,4,2,0
S2T8,S2,human,4,2,2
S2T9,S2,human,4,2,1
S2T10,S2,human,4,2,0
S2T11,S2,human,4,2,2
S2T12,S2,human,4,2,1
N2T1,N2,control,4,2,1
N2T2,N2,control,4,2,1
N2T3,N2,control,4,2,2
N2T4,N2,control,4,2,1
N2T5,N2,control,4,2,0
N2T6,N2,control,4,2,1
N2T7,N2,control,4,2,1
N2T8,N2,control,4,2,1
N2T9,N2,control,4,2,0
N2T10,N2,control,4,2,2
N2T11,N2,control,4,2,1
N2T12,N2,control,4,2,0
S2T1,S2,control,7,1,0
S2T2,S2,control,7,1,1
S2T3,S2,control,7,1,0
S2T4,S2,control,7,1,0
S2T5,S2,control,7,1,0
S2T6,S2,control,7,1,0
S2T7,S2,control,7,1,0
S2T8,S2,control,7,1,1
S2T9,S2,control,7,1,0
S2T10,S2,control,7,1,0
S2T11,S2,control,7,1,1
S2T12,S2,control,7,1,1
N2T1,N2,human,7,1,0
N2T2,N2,human,7,1,1
N2T3,N2,human,7,1,1
N2T4,N2,human,7,1,0
N2T5,N2,human,7,1,0
N2T6,N2,human,7,1,0
N2T7,N2,human,7,1,0
N2T8,N2,human,7,1,0
N2T9,N2,human,7,1,0
N2T10,N2,human,7,1,1
N2T11,N2,human,7,1,0
N2T12,N2,human,7,1,1
S2T1,S2,control,7,2,0
S2T2,S2,control,7,2,1
S2T3,S2,control,7,2,1
S2T4,S2,control,7,2,0
S2T5,S2,control,7,2,1
S2T6,S2,control,7,2,1
S2T7,S2,control,7,2,0
S2T8,S2,control,7,2,0
S2T9,S2,control,7,2,0
S2T10,S2,control,7,2,0
S2T11,S2,control,7,2,1
S2T12,S2,control,7,2,1
N2T1,N2,human,7,2,1
N2T2,N2,human,7,2,1
N2T3,N2,human,7,2,1
N2T4,N2,human,7,2,0
N2T5,N2,human,7,2,0
N2T6,N2,human,7,2,0
N2T7,N2,human,7,2,1
N2T8,N2,human,7,2,1
N2T9,N2,human,7,2,1
N2T10,N2,human,7,2,1
N2T11,N2,human,7,2,0
N2T12,N2,human,7,2,0
S2T1,S2,control,9,1,2
S2T2,S2,control,9,1,2
S2T3,S2,control,9,1,2
S2T4,S2,control,9,1,0
S2T5,S2,control,9,1,0
S2T6,S2,control,9,1,2
S2T7,S2,control,9,1,0
S2T8,S2,control,9,1,1
S2T9,S2,control,9,1,2
S2T10,S2,control,9,1,0
S2T11,S2,control,9,1,2
S2T12,S2,control,9,1,2
N2T1,N2,human,9,1,0
N2T2,N2,human,9,1,2
N2T3,N2,human,9,1,0
N2T4,N2,human,9,1,0
N2T5,N2,human,9,1,0
N2T6,N2,human,9,1,0
N2T7,N2,human,9,1,1
N2T8,N2,human,9,1,1
N2T9,N2,human,9,1,0
N2T10,N2,human,9,1,0
N2T11,N2,human,9,1,1
N2T12,N2,human,9,1,1
S2T1,S2,control,9,2,2
S2T2,S2,control,9,2,2
S2T3,S2,control,9,2,2
S2T4,S2,control,9,2,0
S2T5,S2,control,9,2,1
S2T6,S2,control,9,2,2
S2T7,S2,control,9,2,1
S2T8,S2,control,9,2,1
S2T9,S2,control,9,2,2
S2T10,S2,control,9,2,1
S2T11,S2,control,9,2,2
S2T12,S2,control,9,2,2
N2T1,N2,human,9,2,0
N2T2,N2,human,9,2,2
N2T3,N2,human,9,2,2
N2T4,N2,human,9,2,0
N2T5,N2,human,9,2,0
N2T6,N2,human,9,2,1
N2T7,N2,human,9,2,1
N2T8,N2,human,9,2,1
N2T9,N2,human,9,2,2
N2T10,N2,human,9,2,1
N2T11,N2,human,9,2,2
N2T12,N2,human,9,2,1
