Camera,Grid,Treatment,Week,Trial,Weight Start,Weight End,Consumed,Chewed,Poo,
S2T1,S2,human,2,1,12,11.25,0.75,1,0,
S2T2,S2,human,2,1,11,11,0,0,0,
S2T3,S2,human,2,1,11.25,10.75,0.5,1,0,
S2T4,S2,human,2,1,10.75,10.75,0,0,0,
S2T5,S2,human,2,1,12,10.75,1.25,1,0,
S2T6,S2,human,2,1,11.25,8,3.25,1,0,
S2T7,S2,human,2,1,11.25,11.25,0,0,0,
S2T8,S2,human,2,1,11.75,11.5,0.25,1,0,
S2T9,S2,human,2,1,11.25,11.25,0,0,0,
S2T10,S2,human,2,1,11.25,10.75,0.5,1,0,
S2T11,S2,human,2,1,10.25,10.25,0,0,0,
S2T12,S2,human,2,1,11.25,11.25,0,0,0,
N2T1,N2,control,2,1,10.5,10.5,0,0,0,
N2T2,N2,control,2,1,10,10,0,0,0,
N2T3,N2,control,2,1,11,11,0,0,0,
N2T4,N2,control,2,1,11,9.5,1.5,1,0,
N2T5,N2,control,2,1,10.5,10.5,0,0,0,
N2T6,N2,control,2,1,11.5,11,0.5,1,0,
N2T7,N2,control,2,1,12,12,0,0,0,
N2T8,N2,control,2,1,10.25,9.25,1,1,0,
N2T9,N2,control,2,1,11.25,10.75,0.5,1,0,
N2T10,N2,control,2,1,11,10.75,0.25,1,0,
N2T11,N2,control,2,1,10.25,5.5,4.75,1,0,
N2T12,N2,control,2,1,11.5,5.5,6,1,0,
S2T1,S2,human,2,2,11.25,11.25,0,1,0,
S2T2,S2,human,2,2,11,7.5,3.5,1,0,
S2T3,S2,human,2,2,10.75,9.75,1,1,0,
S2T4,S2,human,2,2,10.75,3.25,7.5,1,0,
S2T5,S2,human,2,2,10.75,3.25,7.5,1,0,
S2T6,S2,human,2,2,8,1.75,6.25,0,0,
S2T7,S2,human,2,2,11.25,2,9.25,1,0,
S2T8,S2,human,2,2,11.5,11,0.5,1,0,
S2T9,S2,human,2,2,11.25,11.25,0,1,0,
S2T10,S2,human,2,2,10.75,4.75,6,1,0,
S2T11,S2,human,2,2,10.25,1.75,8.5,1,0,
S2T12,S2,human,2,2,11.25,7.5,3.75,1,0,
N2T1,N2,control,2,2,10.5,7.5,3,1,0,
N2T2,N2,control,2,2,10,3,7,1,0,
N2T3,N2,control,2,2,11,8,3,1,0,
N2T4,N2,control,2,2,9.5,0.5,9,1,0,
