"","date","grid","treatment","transect","id","genus","species","damage","percent","dbh","height"
"1","8/28/24","N2","control","N2_C",43,"vachellia","etbaica","sb",1,NA,2.8
"2","8/28/24","N2","control","N2_C",44,"vachellia","etbaica","sb",1,NA,3.3
"3","8/28/24","N2","control","N2_C",45,"vachellia","melifera","sb",2,NA,2
"4","8/28/24","N2","control","N2_C",46,"vachellia","etbaica","sb",1,40,5.3
"5","8/28/24","N2","control","N2_C",47,"vachellia","etbaica","sb",1,NA,2.2
"6","8/28/24","N2","control","N2_C",48,"vachellia","etbaica","sb",1,NA,1.8
"7","8/28/24","N2","control","N2_C",49,"vachellia","etbaica","sb",1,NA,1.7
"8","8/28/24","N2","control","N2_C",50,"vachellia","melifera","sb",2,NA,1.5
"9","8/28/24","N2","control","N2_C",51,"balanites","aegyptiaca","lb",4,NA,5.3
"10","8/28/24","N2","control","N2_C",52,"vachellia","melifera","lb",20,NA,1.4
"11","8/28/24","N2","control","N2_C",53,"vachellia","melifera","sb",2,NA,1.6
"12","8/28/24","N2","control","N2_C",54,"vachellia","etbaica","sb",2,NA,1.5
"13","8/28/24","N2","control","N2_C",55,"vachellia","etbaica","sb",1,44,4.4
"14","8/28/24","N2","control","N2_C",55,"vachellia","etbaica","lb",30,44,4.4
"15","8/28/24","N2","control","N2_C",6,"vachellia","etbaica","sb",1,NA,3.9
"16","8/28/24","N2","control","N2_C",56,"vachellia","etbaica","sb",5,78,4.4
"17","8/28/24","N2","control","N2_C",57,"vachellia","etbaica","sb",2,NA,1
"18","8/28/24","N2","control","N2_C",58,"vachellia","etbaica","sb",1,NA,2.3
"19","8/28/24","N2","control","N2_C",59,"vachellia","etbaica","sb",1,NA,2.2
"20","8/28/24","N2","control","N2_C",60,"vachellia","melifera","sb",5,NA,3.11
"21","8/28/24","N2","control","N2_C",61,"vachellia","melifera","sb",10,NA,2.8
"22","8/28/24","N2","control","N2_C",62,"vachellia","melifera","sb",10,NA,2.9
"23","8/28/24","N2","control","N2_C",63,"vachellia","melifera","sb",1,NA,1.6
"24","8/28/24","N2","control","N2_C",64,"vachellia","melifera","sb",1,NA,3
"25","8/28/24","N2","control","N2_C",65,"vachellia","melifera","sb",1,NA,1.6
"26","8/28/24","N2","control","N2_C",66,"vachellia","etbaica","sb",1,NA,3.3
"27","8/28/24","N2","control","N2_C",67,"vachellia","etbaica","sb",5,NA,4.1
"28","8/28/24","N2","control","N2_C",68,"vachellia","melifera","sb",1,NA,2
"29","8/28/24","N2","control","N2_C",69,"vachellia","melifera","sb",2,NA,1.9
"30","8/28/24","N2","control","N2_C",70,"vachellia","melifera","sb",1,NA,2.5
"31","8/28/24","N2","control","N2_C",71,"vachellia","melifera","sb",5,NA,3.6
"32","8/28/24","N2","control","N2_C",72,"vachellia","melifera","sb",1,NA,2.3
"33","8/28/24","N2","control","N2_C",73,"vachellia","melifera","sb",1,NA,5.2
"34","8/28/24","N2","control","N2_B",74,"vachellia","etbaica","sb",2,14,4.5
"35","8/28/24","N2","control","N2_B",75,"vachellia","etbaica","sb",1,NA,2
"36","8/28/24","N2","control","N2_B",76,"vachellia","etbaica","sb",1,NA,2.3
"37","8/28/24","N2","control","N2_B",77,"vachellia","melifera","sb",1,NA,1.9
"38","8/28/24","N2","control","N2_B",78,"vachellia","etbaica","sb",1,NA,2.9
"39","8/28/24","N2","control","N2_B",79,"vachellia","melifera","sb",1,NA,1.3
"40","8/28/24","N2","control","N2_B",80,"vachellia","etbaica","sb",1,NA,1.3
"41","8/28/24","N2","control","N2_B",81,"vachellia","etbaica","sb",10,NA,2
"42","8/28/24","N2","control","N2_B",82,"vachellia","etbaica","sb",1,NA,1
"43","8/28/24","N2","control","N2_B",83,"vachellia","melifera","sb",1,NA,1.5
"44","8/28/24","N2","control","N2_B",84,"vachellia","melifera","sb",1,NA,1.3
"45","8/28/24","N2","control","N2_B",85,"vachellia","etbaica","sb",1,NA,2.2
"46","8/28/24","N2","control","N2_B",86,"vachellia","etbaica","sb",1,22,3
"47","8/28/24","N2","control","N2_B",87,"vachellia","etbaica","sb",1,NA,2.4
"48","8/28/24","N2","control","N2_B",88,"vachellia","melifera","sb",1,NA,1
"49","8/28/24","N2","control","N2_A",89,"vachellia","etbaica","sb",1,21,2
"50","8/28/24","N2","control","N2_A",90,"vachellia","etbaica","sb",5,22,3.2
"51","8/28/24","N2","control","N2_A",91,"vachellia","etbaica","sb",20,9,2.8
"52","8/28/24","N2","control","N2_A",92,"vachellia","melifera","sb",1,8,3.4
"53","8/28/24","N2","control","N2_A",93,"vachellia","etbaica","sb",5,23,2.6
"54","8/28/24","N2","control","N2_A",93,"vachellia","etbaica","lb",40,23,2.6
"55","8/28/24","N2","control","N2_A",93,"vachellia","etbaica","ba",30,23,2.6
"56","8/28/24","N2","control","N2_A",94,"vachellia","etbaica","sb",1,31,4.4
"57","8/28/24","N2","control","N2_A",95,"vachellia","etbaica","sb",2,NA,3.5
"58","8/28/24","N2","control","N2_A",96,"vachellia","etbaica","sb",1,NA,3.2
"59","8/28/24","N2","control","N2_A",97,"vachellia","etbaica","sb",1,18,2.5
"60","8/28/24","N2","control","N2_A",98,"vachellia","etbaica","sb",1,NA,3.4
"61","8/28/24","N2","control","N2_A",99,"vachellia","etbaica","sb",10,24,2.2
"62","8/28/24","N2","control","N2_A",100,"vachellia","melifera","sb",1,NA,2.9
"63","8/28/24","N2","control","N2_A",101,"vachellia","melifera","sb",1,NA,2
"64","8/28/24","N2","control","N2_A",102,"vachellia","etbaica","sb",2,NA,1.8
"65","8/28/24","N2","control","N2_A",103,"vachellia","melifera","sb",1,NA,1.7
"66","8/28/24","S2","human","S2_C",104,"vachellia","etbaica","sb",1,NA,3.3
"67","8/28/24","S2","human","S2_C",105,"vachellia","etbaica","sb",1,NA,1.2
"68","8/28/24","S2","human","S2_C",106,"vachellia","etbaica","sb",1,NA,1
"69","8/28/24","S2","human","S2_C",107,"vachellia","etbaica","sb",1,NA,1.1
"70","8/28/24","S2","human","S2_C",108,"vachellia","etbaica","sb",1,NA,1.3
"71","8/28/24","S2","human","S2_C",109,"vachellia","melifera","ba",5,25,3.2
"72","8/28/24","S2","human","S2_C",110,"vachellia","etbaica","sb",10,NA,3.3
"73","8/28/24","S2","human","S2_C",111,"vachellia","etbaica","sb",1,NA,5.6
"74","8/28/24","S2","human","S2_C",112,"vachellia","etbaica","sb",1,NA,2.9
"75","8/28/24","S2","human","S2_C",113,"vachellia","etbaica","sb",1,NA,3.4
"76","8/28/24","S2","human","S2_B",114,"vachellia","melifera","lb",15,44,2.7
"77","8/28/24","S2","human","S2_B",115,"vachellia","etbaica","sb",7,NA,5.6
"78","8/28/24","S2","human","S2_B",116,"vachellia","etbaica","sb",1,18,3
"79","8/28/24","S2","human","S2_B",117,"vachellia","etbaica","sb",1,NA,4.9
"80","8/28/24","S2","human","S2_B",34,"vachellia","melifera","sb",2,NA,1.6
"81","8/28/24","S2","human","S2_A",118,"vachellia","etbaica","sb",1,25,3.6
"82","8/28/24","S2","human","S2_A",119,"vachellia","etbaica","sb",1,NA,2.1
"83","10/14/24","N2","human","N2_A",210,"vachellia","melifera","sb",10,NA,1.5
"84","10/14/24","N2","human","N2_A",211,"vachellia","etbaica","sb",1,47,3.9
"85","10/14/24","N2","human","N2_A",212,"vachellia","melifera","sb",1,NA,1.2
"86","10/14/24","N2","human","N2_A",213,"vachellia","etbaica","sb",5,NA,2.4
"87","10/14/24","N2","human","N2_A",214,"vachellia","etbaica","sb",7,NA,2
"88","10/14/24","N2","human","N2_A",215,"vachellia","etbaica","sb",1,NA,5.5
"89","10/14/24","N2","human","N2_A",216,"vachellia","etbaica","sb",10,NA,1.6
"90","10/14/24","N2","human","N2_B",217,"vachellia","etbaica","sb",1,32,2.7
"91","10/14/24","N2","human","N2_B",218,"vachellia","melifera","sb",2,NA,2.3
"92","10/14/24","N2","human","N2_B",219,"vachellia","etbaica","sb",1,NA,3.1
"93","10/14/24","N2","human","N2_C",120,"vachellia","etbaica","sb",2,NA,4.5
"94","10/14/24","N2","human","N2_C",120,"vachellia","etbaica","lb",1,NA,4.5
"95","10/14/24","N2","human","N2_C",220,"vachellia","melifera","sb",4,NA,2.5
"96","10/14/24","N2","human","N2_C",221,"vachellia","melifera","sb",2,NA,3.9
"97","10/14/24","N2","human","N2_C",222,"vachellia","melifera","sb",1,NA,2.9
"98","10/14/24","N2","human","N2_C",223,"vachellia","etbaica","sb",2,NA,4.3
"99","10/14/24","S2","control","S2_A",224,"vachellia","etbaica","sb",1,NA,4.6
"100","10/14/24","S2","control","S2_A",225,"vachellia","etbaica","ba",80,NA,2.6
