"","treatment_period","week_id","grid_id","treatment","camera_id","deployment_id","start_time","common_name","group_size"
"1",1,2,"N2","control","N2T1","MFP W2 N2T1","7/31/24 12:37","Human",1
"2",1,2,"N2","control","N2T1","MFP W2 N2T1","8/2/24 11:26","Human",1
"3",1,2,"N2","control","N2T1","MFP W2 N2T1","8/3/24 12:11","Human",1
"4",1,2,"N2","control","N2T1","MFP W2 N2T1","8/4/24 11:50","Human",1
"5",1,2,"N2","control","N2T1","MFP W2 N2T1","8/5/24 9:37","Human",3
"6",1,2,"N2","control","N2T1","MFP W2 N2T1","8/6/24 10:09","Human",1
"7",1,2,"N2","control","N2T1","MFP W2 N2T1","8/6/24 12:38","Human",4
"8",1,2,"N2","control","N2T1","MFP W2 N2T1","8/6/24 14:51","Human",1
"9",1,2,"N2","control","N2T10","MFP W2 N2T10","7/31/24 11:41","Human",1
"10",1,2,"N2","control","N2T10","MFP W2 N2T10","8/2/24 10:50","Human",1
"11",1,2,"N2","control","N2T10","MFP W2 N2T10","8/3/24 13:43","Human",1
"12",1,2,"N2","control","N2T10","MFP W2 N2T10","8/4/24 13:43","Human",2
"13",1,2,"N2","control","N2T10","MFP W2 N2T10","8/5/24 9:36","Human",1
"14",1,2,"N2","control","N2T10","MFP W2 N2T10","8/5/24 15:23","Human",1
"15",1,2,"N2","control","N2T10","MFP W2 N2T10","8/6/24 10:05","Human",1
"16",1,2,"N2","control","N2T11","MFP W2 N2T11","7/31/24 11:17","Human",NA
"17",1,2,"N2","control","N2T11","MFP W2 N2T11","8/1/24 14:40","Human",NA
"18",1,2,"N2","control","N2T11","MFP W2 N2T11","8/2/24 9:03","Human",NA
"19",1,2,"N2","control","N2T11","MFP W2 N2T11","8/3/24 11:01","Human",NA
"20",1,2,"N2","control","N2T11","MFP W2 N2T11","8/4/24 10:40","Human",NA
"21",1,2,"N2","control","N2T11","MFP W2 N2T11","8/5/24 8:26","Human",NA
"22",1,2,"N2","control","N2T11","MFP W2 N2T11","8/6/24 8:51","Human",NA
"23",1,2,"N2","control","N2T12","MFP W2 N2T12","7/31/24 10:09","Human",NA
"24",1,2,"N2","control","N2T12","MFP W2 N2T12","8/2/24 9:30","Human",NA
"25",1,2,"N2","control","N2T12","MFP W2 N2T12","8/3/24 12:56","Human",NA
"26",1,2,"N2","control","N2T12","MFP W2 N2T12","8/4/24 13:03","Human",NA
"27",1,2,"N2","control","N2T12","MFP W2 N2T12","8/5/24 8:16","Human",NA
"28",1,2,"N2","control","N2T12","MFP W2 N2T12","8/6/24 8:34","Human",NA
"29",1,2,"N2","control","N2T2","MFP W2 N2T2","7/31/24 13:07","Human",1
"30",1,2,"N2","control","N2T2","MFP W2 N2T2","8/2/24 12:07","Human",1
"31",1,2,"N2","control","N2T2","MFP W2 N2T2","8/3/24 11:51","Human",1
"32",1,2,"N2","control","N2T2","MFP W2 N2T2","8/4/24 11:28","Human",1
"33",1,2,"N2","control","N2T2","MFP W2 N2T2","8/5/24 9:59","Human",1
