"common_name","N2_control","S2_human","N2_human","S2_control"
"African Elephant",11,12,10,12
"Black-backed Jackal",6,10,6,9
"Common Warthog",5,3,4,8
"Crested Porcupine",0,0,3,1
"Genets",12,12,12,12
"Grevy's Zebra",10,10,11,11
"Ground Squirrels",9,8,11,12
"Guenther's Dik-Dik",12,12,12,12
"Hares",12,12,12,12
"Hippopotamus",6,3,5,4
"Impala",12,12,12,12
"Leopard",3,4,6,6
"Lion",6,7,3,4
"Nocturnal Rodents",4,7,5,8
"Plains Zebra",7,7,6,5
"Reticulated Giraffe",11,7,10,8
"Slender Mongoose",9,6,11,7
"Spotted Hyena",12,10,12,12
"White-tailed Mongoose",12,12,12,12
"Zorilla",7,7,7,10
